event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not give a small smile,"[""none""]","[""none"", ""annoyed"", ""confused""]","[""none""]","[""upset"", ""serious"", ""stoic""]","[""people think they're angry"", ""they don't meet new people"", ""none""]","[""to be miserable"", ""to appear upset"", ""to avoid people"", ""to not seem happy""]","[""none"", ""to look around"", ""to become uninterested""]","[""angry"", ""annoyed"", ""content"", ""calm""]","[""moves on"", ""starts new task"", ""to leave"", ""to find something more interesting""]",tst,PersonX gives a small smile
PersonX does not practice together,"[""none""]","[""ignored"", ""unappreciated"", ""rejected"", ""motivated to improve""]","[""none"", ""to practice without PersonX"", ""to do nothing""]","[""lazy"", ""weak"", ""not skilled"", ""independent""]","[""loses skill"", ""loses connection"", ""practices alone"", ""doesn't practice""]","[""to practice alone"", ""to avoid eveyone"", ""to go solo"", ""to work on himself""]","[""to practice alone"", ""to learn a skill"", ""none""]","[""selfish"", ""alone"", ""motivated"", ""confident""]","[""to learn a different skill"", ""to practice on their own"", ""to practice alone"", ""to do nothing""]",tst,PersonX practices together
PersonX does not dye PersonY's hair,"[""person y went home"", ""person y watch movie"", ""resents x"", ""tells x off""]","[""annoyed"", ""neglected"", ""none""]","[""be mad at personX"", ""tell personX they aren't being helpful"", ""to do their own thing"", ""to say no thank you""]","[""careful"", ""concerned"", ""cautious"", ""responsible""]","[""person x say bye to person y"", ""person x went to park"", ""seen as unhelpful"", ""not viewed as a good friend""]","[""none"", ""to respect PersonY's wishes"", ""to hire a professional stylist for PersonY instead""]","[""to know personY wants personY's hair dyed"", ""to tell personY they will not dye hair"", ""to buy the hair product"", ""to invite PersonY over""]","[""indignant"", ""ignored"", ""disappointed that PersonY will not try something new"", ""helpful and generous""]","[""to explain why they did not dye personY's hair"", ""avoid seeing personY"", ""to give PersonY a phony excuse"", ""to explain themselves""]",tst,PersonX dyes PersonY's hair
PersonX does not go first,"[""none""]","[""none"", ""grateful"", ""respected""]","[""none""]","[""last in line"", ""waiting til last"", ""scared"", ""a coward""]","[""none""]","[""none"", ""to be polite"", ""to wait their turn""]","[""to wait their turn"", ""to form a line"", ""none""]","[""impatient"", ""relieved"", ""respectful"", ""polite""]","[""to hone their skills"", ""to wake up earlier"", ""to let others have fun"", ""show their patience""]",tst,PersonX goes first
PersonX does not see what happened,"[""none""]","[""none""]","[""get x's attention"", ""see why x missed it"", ""none""]","[""unaware"", ""unconcerned"", ""blind"", ""self-centered""]","[""misses an opportunity"", ""get something taken from him"", ""misses out"", ""becomes confused""]","[""none""]","[""none"", ""to look away"", ""to hide their head""]","[""oblivious"", ""like they missed something"", ""suspicious"", ""surprised""]","[""to see what they missed"", ""react to the noise"", ""to ask someone what went on"", ""to watch the tapes""]",tst,PersonX sees what happened
PersonX does not take the stage,"[""none""]","[""none"", ""confused"", ""lost for words""]","[""to find a replacement"", ""to convince PersonX"", ""to get a refund"", ""to file complaints""]","[""relaxed"", ""disappointed"", ""timid"", ""retiring""]","[""none"", ""have no record of the session's performance"", ""receive no applause""]","[""none"", ""to avoid seeing the crowd"", ""to make sure he is ready""]","[""to avoid the stage"", ""to refuse to take the stage"", ""to suffer stage fright"", ""to be taken off in handcuffs""]","[""nervous"", ""ashamed""]","[""to take the stage"", ""to leave"", ""to take a Valium"", ""to call his lawyer""]",tst,PersonX takes the stage
PersonX does not get dressed for school,"[""none""]","[""unhappy"", ""they are losing control over their own child"", ""none""]","[""none""]","[""ignorant"", ""unmotivated"", ""unprepared"", ""undressed""]","[""Person X gets suspended"", ""Person X gets grounded"", ""none""]","[""play video games"", ""to take a break from academics"", ""to stay home"", ""to play hooky""]","[""to wake up"", ""to notice their clothes are still in the wash"", ""to sit around in their chair"", ""to sneak out to their friend's house""]","[""rejuvenated to work hard"", ""satisfied with their own life"", ""excited"", ""guilty""]","[""to put on casual clothes"", ""to get to school as quickly as possible"", ""to eat candy"", ""to go to the movies""]",tst,PersonX gets dressed for school
PersonX is not walking across the street,"[""none""]","[""none""]","[""none""]","[""afraid of traffic"", ""cautious"", ""superstitious""]","[""none"", ""took a bath"", ""went to bed""]","[""to walk on the sidewalk"", ""to not get hit by a car"", ""to avoid something"", ""to stay safe""]","[""none"", ""to be outside"", ""to be near a street""]","[""content"", ""relaxed"", ""smart"", ""responsible""]","[""to stay safe"", ""be away from cars"", ""to go home"", ""to find another way past the busy street""]",tst,PersonX is walking across the street
PersonX does not get a burger,"[""none""]","[""none""]","[""none""]","[""satiated"", ""vegetarian"", ""frugal"", ""careful""]","[""saves energy"", ""becomes healthier"", ""none""]","[""to eat healthy"", ""to cook at home"", ""something more healthy"", ""to wait their weight""]","[""to not order a burger"", ""to do nothing in particular"", ""to have forgotten his wallet"", ""to have no money""]","[""proud"", ""healthy"", ""hungry"", ""upset about their diet""]","[""to eat something else"", ""to wait for dinner to eat"", ""to call home for his wallet"", ""to panhandle for change""]",tst,PersonX gets a burger
PersonX does not rest on PersonY's shoulder,"[""none""]","[""respected"", ""set apart"", ""they want to be intimate"", ""they want to be alone""]","[""none"", ""to help PersonX"", ""to understand why PersonX declined help""]","[""reserved"", ""respectful"", ""independent"", ""strong""]","[""none""]","[""none"", ""to see PersonY"", ""to run their shoulder""]","[""none""]","[""standoffish"", ""repulsed"", ""independent"", ""loved"", ""all alone""]","[""to rest on something else"", ""to not annoy Y"", ""to make it on their own"", ""to not burden PersonY""]",tst,PersonX rests on PersonY's shoulder
PersonX does not like hiking,"[""none""]","[""none""]","[""none""]","[""allergic"", ""lazy"", ""not atheltic"", ""tired""]","[""none"", ""has a bad time hiking"", ""is miserable""]","[""none""]","[""none""]","[""relaxed"", ""happy"", ""flabby"", ""careful""]","[""to end the event early"", ""to pretend they are sick"", ""stay at home"", ""watch a show""]",tst,PersonX likes hiking
PersonX does not decide to enter,"[""have less competition"", ""have better chance to win"", ""none""]","[""none""]","[""to encourage PersonX"", ""to win against PersonX"", ""none""]","[""an outsider"", ""uninvited"", ""outcast"", ""outsider""]","[""sits out the competition"", ""does not get a medal"", ""walk away"", ""turns head towards another direction""]","[""to stay safe"", ""to go somewhere else"", ""to go home"", ""to avoid social situations""]","[""none"", ""go to a place"", ""be near a door""]","[""curious"", ""content"", ""anxious"", ""safe""]","[""to find another event to enter"", ""to practice at another event"", ""Move to a new place"", ""Find somewhere else to go""]",tst,PersonX decides to enter
PersonX does not attain PersonX's goals,"[""none""]","[""none""]","[""none""]","[""lazy"", ""not harduous"", ""failed"", ""unsuccessful""]","[""none"", ""repeats the class"", ""works harder""]","[""none""]","[""have goals"", ""have meaning"", ""none""]","[""disappointed"", ""upset"", ""incapable"", ""embarrassed""]","[""set new goals"", ""find meaning"", ""try harder"", ""focus on other goals""]",tst,PersonX attains PersonX's goals
PersonX does not accomplish PersonX's ends,"[""none""]","[""sorry for PersonX"", ""the need to help PersonX"", ""none""]","[""none""]","[""lazy"", ""not ambitious"", ""Unachieved"", ""Failure""]","[""become unsuccesful"", ""be uncontent"", ""Person X gets fired"", ""Person X doesn't get paid""]","[""Something that is not realistic"", ""To accomplish something without putting in the work"", ""none""]","[""set goals"", ""attempt them"", ""to do the bare minimum"", ""slack off and avoid work""]","[""saddened and disappointed"", ""rejected by the world and feels it is against him"", ""unaccomplished"", ""unmotivated"", ""upset"", ""disappointed""]","[""feel sad"", ""give up"", ""to work harder"", ""find a way to make it work""]",tst,PersonX accomplishes PersonX's ends
PersonX does not light another cigarette,"[""none""]","[""relieved"", ""grateful"", ""none""]","[""none""]","[""trying to quit"", ""getting healthy"", ""Restraint"", ""unwanted""]","[""Is still diagnosed with lung cancer"", ""Dies of lung cancer"", ""they get withdrawal"", ""they feel bad""]","[""to quit"", ""to not bother others"", ""to stop smoking"", ""to save money""]","[""avoid cigarettes"", ""decide not to smoke"", ""already smoked"", ""feels sick""]","[""proud"", ""accomplished"", ""optimistic"", ""restrained"", ""needy""]","[""keep avoiding cigarettes"", ""find a place to smoke"", ""stops smoking"", ""throws cigarette""]",tst,PersonX lit another cigarette
PersonX did not always beat,"[""none""]","[""victorious"", ""successful"", ""happy"", ""thankful""]","[""none""]","[""unskilled"", ""uncompetitive"", ""loser"", ""failure""]","[""made friends"", ""helped friends"", ""none""]","[""none""]","[""to throw a punch"", ""to enter the contest"", ""none""]","[""defeated"", ""like they need to work harder"", ""disappointed"", ""sad""]","[""to train harder using their punching bag"", ""to find a sensei"", ""train harder"", ""practice"", ""win""]",tst,PersonX always beat
PersonX does not love PersonX's dog,"[""none""]","[""none""]","[""none""]","[""cold"", ""not an animal lover"", ""selfish"", ""unfeeling""]","[""Gives dog to animal shelter"", ""Ridiculed for doing so by friends"", ""avoids the dog"", ""gets barked at""]","[""none""]","[""have a dog"", ""fail to connect with the dog"", ""none""]","[""annoyed"", ""irritated"", ""mean"", ""sad"", ""unloving""]","[""connect with the dog"", ""find a new home for the dog"", ""to find someone to adopt the dog"", ""to make an appointment with a therapist""]",tst,PersonX loves PersonX's dog
PersonX does not break PersonX's hip,"[""none""]","[""none""]","[""none""]","[""careful"", ""fortunate"", ""lucky"", ""hurt""]","[""jumps for joy"", ""celebrates"", ""is healthy"", ""has the ability to walk""]","[""none""]","[""none""]","[""healthy"", ""happy"", ""relieved"", ""thankful""]","[""to continue being careful"", ""to get check out at the doctor"", ""maintain good health"", ""continue to be active""]",tst,PersonX breaks PersonX's hip
PersonX does not want to play baseball,"[""none""]","[""none"", ""frustrated with personX"", ""like personX is a party pooper""]","[""none""]","[""unathletic"", ""unfocused"", ""unmotivated"", ""lazy""]","[""none"", ""kicked off team"", ""loses muscle tone"", ""get flabby""]","[""none""]","[""none""]","[""unathletic"", ""unskilled"", ""relaxed"", ""ready to do something else""]","[""to give baseball a try"", ""to pursue a different hobby""]",tst,PersonX wants to play baseball
PersonX does not put PersonX's phone,"[""none""]","[""none""]","[""none""]","[""Restraint"", ""uncaring"", ""independent"", ""powerful""]","[""none""]","[""to keep their phone on them"", ""to make a phone call"", ""to leave things be"", ""to be disorganized""]","[""none"", ""to purchase a phone"", ""to pick up their phone""]","[""satisfied"", ""secure"", ""confused"", ""befuddled""]","[""to make a call"", ""to set an alarm"", ""to scroll through their phone"", ""to text friends""]",tst,PersonX puts PersonX's phone
PersonX does not catch the bus,"[""none""]","[""none""]","[""none""]","[""unlucky"", ""lazy"", ""slow""]","[""swears"", ""gets annoyed"", ""Person X is late to work"", ""Person X is fired""]","[""none""]","[""none"", ""work over time"", ""fool around""]","[""disappointed"", ""worried"", ""frustrated"", ""rushed"", ""pressed for time""]","[""to walk home"", ""to exercise"", ""call a cab"", ""call for a ride""]",tst,PersonX catches the bus
PersonX is not able to find it,"[""cry"", ""want answers"", ""none""]","[""none""]","[""none""]","[""cautious"", ""curious"", ""unfocused"", ""tired""]","[""has to buy another one"", ""has to explain loss to family"", ""calls repairman"", ""pays for repairs""]","[""none""]","[""to lose something"", ""to misplace an item"", ""lose something"", ""look for something""]","[""incapable"", ""frustrated"", ""stressed"", ""nervous about losing it""]","[""to ask someone to help"", ""to look in other places"", ""try looking somewhere else"", ""ask someone for help""]",tst,PersonX is able to find it
PersonX does not need a bath,"[""none""]","[""none""]","[""none""]","[""dirty"", ""smelly"", ""clean"", ""unconcerned""]","[""none""]","[""none""]","[""none"", ""to shower recently"", ""to put on perfume""]","[""clean"", ""fresh"", ""refreshed""]","[""remain clean"", ""avoid water"", ""to shower again"", ""to take a bath""]",tst,PersonX needs a bath
PersonX does not trail behind PersonY,"[""none""]","[""like they are rushed"", ""too close to personX"", ""anxious"", ""competitive""]","[""to catch up to PersonX"", ""to pass PersonX"", ""none""]","[""a leader"", ""proud"", ""a loner""]","[""none""]","[""none"", ""to get ahead of y"", ""to go somewhere else""]","[""to get in front of PersonY"", ""to not follow PersonY"", ""participate in a race"", ""join the track team""]","[""hurried"", ""like he needs to keep up"", ""independent"", ""superior""]","[""to go their own way"", ""stay ahead of PersonY"", ""condition their body"", ""compete at the highest level""]",tst,PersonX trails behind PersonY
PersonX does not do n't have many friends,"[""none""]","[""none""]","[""none""]","[""lonely"", ""independent"", ""aloof"", ""self-sufficient"", ""loner"", ""isolated"", ""depressed""]","[""none"", ""Invited to parties by classmates"", ""Ridiculed by bullies""]","[""to concentrate on their studies"", ""to be left alone"", ""none""]","[""none"", ""to talk less people"", ""to talk to only his friends""]","[""aloof"", ""isolated"", ""neglected"", ""lonely"", ""sad""]","[""to make some friends"", ""stay home on weekends"", ""keep up with the few they have"", ""talk to his friends"", ""be left alone""]",tst,PersonX does n't have many friends
PersonX does not take a new job,"[""none""]","[""none""]","[""none""]","[""picky"", ""choosey"", ""unfit"", ""slack"", ""inactive""]","[""none"", ""Offered several different jobs"", ""Yelled at by parents""]","[""to keep working their current job"", ""to wait for a better offer"", ""to get a better job"", ""to stay at their job""]","[""apply to a job"", ""be offered a job"", ""have a job"", ""be satisfied with their job""]","[""practical"", ""persistent"", ""prideful"", ""appreciated""]","[""keep their job"", ""continue enjoying their job""]",tst,PersonX takes a new job
PersonX does not decide to read a book,"[""none""]","[""none""]","[""none""]","[""sporty"", ""nonscholastic"", ""passive"", ""unassertive""]","[""none""]","[""to read the book later"", ""to concentrate on their work"", ""to wait to see the movie adaptation"", ""to do something more fun"", ""to take a break""]","[""to think about reading a book"", ""to decide on something else"", ""to go to the bookcase"", ""to pull out a book""]","[""pressed for time"", ""preoccupied"", ""lazy"", ""lacking""]","[""to do something else"", ""to watch tv"", ""to find another book"", ""to see what is on tv""]",tst,PersonX decides to read a book
PersonX does not have lost PersonX's phone,"[""none""]","[""none""]","[""none""]","[""capable"", ""knowing"", ""careful"", ""responsible""]","[""shakes head"", ""remembers where they put it"", ""Receives a call from friend"", ""Invited to party""]","[""none""]","[""none""]","[""excited to have a cell phone"", ""meticulous about taking care of their belongings"", ""relieved"", ""thankful""]","[""to make sure the phone is secure"", ""to make sure the phone was not stolen"", ""to keep their phone"", ""to not lose the phone""]",tst,PersonX has lost PersonX's phone
PersonX does not french kiss,"[""don't want to kiss PersonX"", ""thinks PersonX is strange"", ""frowns"", ""pulls back""]","[""confused"", ""curious"", ""none""]","[""none"", ""to teach person X to french kiss"", ""to help person X feel relaxed""]","[""unromantic"", ""unfriendly"", ""apprehensive"", ""timid""]","[""misses out on experience"", ""is thought to be prude"", ""sweats from nerves"", ""pulls back""]","[""to be respectful"", ""to abstain"", ""to avoid germs"", ""to not do something gross""]","[""none"", ""to meet her boyfriend"", ""to start kissing""]","[""proud"", ""curious"", ""curious about what they miss"", ""not disgusted""]","[""to try and french kiss"", ""to work up courage to talk to someone they may be interested in"", ""to learn to french kiss"", ""to feel less anxious about kissing""]",tst,PersonX french kisses
PersonX does not want to learn a new language,"[""none""]","[""none""]","[""none""]","[""unconcerned"", ""lazy"", ""dumb""]","[""feels lost in a foreign country"", ""is limited in where they can travel"", ""none""]","[""to be stupid"", ""to do other activities"", ""to put forward no effort"", ""to use the time for leisure instead""]","[""none"", ""to learn a language"", ""to attempt learning a language""]","[""dumb"", ""busy"", ""sleepy"", ""selfish""]","[""to learn a different skill"", ""to focus on the languages they already know"", ""to give up"", ""to try to learn""]",tst,PersonX wants to learn a new language
PersonX does not reach PersonY's ears,"[""none""]","[""scared"", ""disgusted"", ""the same"", ""like their ear isn't being touched""]","[""none""]","[""Quiet"", ""Meek"", ""short"", ""not as tall as personY""]","[""none"", ""gets ignored"", ""misses interaction""]","[""none"", ""to touch Y's ears"", ""play with Y""]","[""to try to get PersonY's attention"", ""to find PersonY"", ""none""]","[""disappointed"", ""sad"", ""like a failure""]","[""to talk louder"", ""to catch PersonY's attention"", ""to eat healthy"", ""to consult a doctor""]",tst,PersonX reaches PersonY's ears
PersonX does not set PersonY up,"[""none""]","[""hopeful"", ""trusted"", ""annoyed"", ""disappointed""]","[""none""]","[""fair"", ""just"", ""forgetful"", ""hesitant""]","[""Forced to meet someone new"", ""Loses friendship with PersonY"", ""none""]","[""to befriend PersonY"", ""PersonY to trust"", ""to avoid getting involved"", ""to let PersonY figure it out themselves""]","[""none""]","[""trusted"", ""satisfied"", ""righteous"", ""ethical"", ""0""]","[""enjoy time off"", ""relax"", ""hang out"", ""go out with friends""]",tst,PersonX sets PersonY up
PersonX does not give PersonY a warning,"[""none""]","[""angry"", ""mislead"", ""scared"", ""threatened""]","[""none"", ""Be annoyed"", ""decide whether to help""]","[""heartless"", ""cruel"", ""unfair"", ""volatile""]","[""gets blamed for y's failures"", ""feels guilty"", ""none""]","[""to let PersonY figure it out"", ""to see PersonY fail"", ""to appear tough"", ""to be quick""]","[""referee a game"", ""be watching the player"", ""plan something"", ""act suddenly""]","[""remorseful"", ""vindicated"", ""tough"", ""rushed""]","[""watch the player more"", ""make sure there is no penalties"", ""plead with PersonY"", ""expect compliance""]",tst,PersonX gives PersonY a warning
PersonX does not camp with PersonX's family,"[""none""]","[""worried about PersonX's reclusiveness"", ""hurt and rejected by PersonX"", ""sad that PersonX didn't come"", ""annoyed""]","[""none"", ""Be disappointed"", ""go camping anyway""]","[""shy"", ""introverted"", ""individualistic"", ""asocial"", ""inconsiderate"", ""distasteful""]","[""Uninvited from family reunion"", ""Expelled from the family"", ""none""]","[""to stay home with modern conveniences"", ""to avoid spending time alone with family"", ""to camp alone"", ""to not go camping""]","[""none"", ""hear about the camping trip"", ""decline invitation""]","[""helpless without technology"", ""irritated by family members"", ""relieved"", ""happy""]","[""work instead"", ""to watch football"", ""turn on netflix"", ""make popcorn""]",tst,PersonX camps with PersonX's family
PersonX does not look angry,"[""none""]","[""none"", ""relieved"", ""reassured""]","[""none""]","[""confident"", ""friendly"", ""happy"", ""stagnant""]","[""none"", ""Approached by strangers"", ""Asked out on a date""]","[""to avoid intimidating people"", ""to downplay their annoyance"", ""none""]","[""none""]","[""sly"", ""intentional"", ""calm"", ""collected""]","[""to be happy"", ""to live life"", ""remain calm"", ""continue with day""]",tst,PersonX looks angry
PersonX does not argue with PersonY's boyfriend,"[""none"", ""maintains good status"", ""doesn't get yelled at""]","[""glad"", ""happy"", ""none""]","[""to egg PersonX on"", ""escalate the interaction"", ""thank PersonX"", ""none""]","[""friendly"", ""timid"", ""polite"", ""unconcerning"", ""non-confrontational""]","[""none"", ""maintains good status"", ""doesn't get yelled at""]","[""to keep a friend"", ""to remain calm"", ""to be free of conflict"", ""to not get involved""]","[""none""]","[""relieved"", ""wise"", ""peaceful"", ""calm""]","[""to talk to PersonY later"", ""get away from them"", ""to avoid unnecessary arguments"", ""to let go of person y""]",tst,PersonX argues with PersonY's boyfriend
PersonX does not give PersonY a account,"[""none"", ""changes the password"", ""does not want help""]","[""none"", ""wary"", ""concerned""]","[""none"", ""to beg PersonX to share"", ""prepare a nice dinner for PersonX""]","[""aggressive"", ""thoughtful"", ""tight-lipped"", ""secretive""]","[""none"", ""to go to the bank"", ""to help with the account""]","[""to plot their moves in secret"", ""to avoid the fight that will ensue"", ""to withold it from person y"", ""tell person y later""]","[""none""]","[""jittery that they will be exposed"", ""anxious to move forward with plans"", ""protective"", ""secretive""]","[""y to stay dependent"", ""to make y responsible"", ""to hide the information"", ""to write a dummy note to confuse people""]",tst,PersonX gives PersonY a account
PersonX does not announce PersonX's decision,"[""none""]","[""none"", ""uninformed"", ""bothered""]","[""none""]","[""discreet"", ""private"", ""conservative"", ""quiet""]","[""none""]","[""not speak mind"", ""stay closed-off"", ""the decision to be kept private"", ""to keep a secret""]","[""come up with a decision"", ""make a decision"", ""none""]","[""fine"", ""content"", ""justified"", ""unconcerned""]","[""keep it took himself"", ""change topic"", ""to keep their choice private"", ""to tell friends and family first""]",tst,PersonX announces PersonX's decision
PersonX does not start working again,"[""none""]","[""none""]","[""none"", ""PersonX to come back to their company"", ""PersonX to put in a bit more effort before the end of the day""]","[""lazy"", ""hurt"", ""depressed""]","[""has no money"", ""is not respected"", ""acquire less wealth"", ""does not get promoted""]","[""to relax"", ""to travel"", ""to raise children"", ""to take some time off"", ""to rest""]","[""to get a job"", ""to quit"", ""to have had a job"", ""to have the opportunity to get back to that job""]","[""relieved"", ""relaxed"", ""relief"", ""refreshed"", ""guilty""]","[""to get a new job"", ""to retire"", ""to start a business"", ""to continue their happy retirement"", ""to go to bed for the night, and not do any more work""]",tst,PersonX starts working again
PersonX does not duck PersonY's head,"[""gets hit in the head"", ""gets a headache"", ""Smacked in the head by bridge"", ""Taken to hospital""]","[""thankful"", ""relieved"", ""none""]","[""none"", ""to duck their own head"", ""to yell at PersonX""]","[""standoffish"", ""uninvolved"", ""selfish"", ""mean""]","[""cringes"", ""frowns"", ""none""]","[""to keep their hands to themself"", ""to not be rude"", ""to make a grand entrance"", ""to show off their headpiece""]","[""none""]","[""pleased"", ""proud"", ""elegant for commanding the room"", ""lucky their headpiece remained intact""]","[""to leave PersonY's head where it is"", ""PersonY to hit his head on something in its path"", ""to do nothing"", ""to check on PersonY""]",tst,PersonX ducks PersonY's head
PersonX does not wear gloves,"[""none""]","[""none""]","[""none""]","[""dirty"", ""unclean"", ""dismissive"", ""reckless""]","[""have frozen fingers"", ""spend extra money on gloves"", ""none""]","[""to feel a texture"", ""to keep hands feeling free"", ""to have dry hands"", ""to be able to use their phone""]","[""none"", ""to know the weather will be warm"", ""to have had a manicure""]","[""satisfied"", ""content"", ""okay with their decision"", ""not sweaty""]","[""to keep their hands free"", ""to look stylish without gloves"", ""to get tanned hands"", ""to show off her nails""]",tst,PersonX wears gloves
PersonX does not hold on for dear life,"[""none""]","[""none""]","[""none""]","[""unafraid"", ""daring"", ""adventurous""]","[""none""]","[""to stop fighting"", ""to end it all"", ""to die"", ""to have some excitement in life""]","[""go on a ride"", ""let go"", ""none""]","[""at peace"", ""resigned"", ""hopeless"", ""depressed""]","[""get off"", ""sit down"", ""to test themselves"", ""an adrenaline rush""]",tst,PersonX holds on for dear life
PersonX does not notify PersonY,"[""none"", ""PersonY does not know something"", ""PersonY becomes unaware""]","[""upset that Person X didn't let them know"", ""confused as to why they werent a better friend"", ""let down"", ""forgotten""]","[""none"", ""to find out why"", ""to do nothing""]","[""unempathetic"", ""self-absorbed"", ""negligent"", ""inactive"", ""lazy"", ""shy""]","[""none""]","[""to avoid being the bearer of bad news"", ""to let someone else cause disappointment"", ""to avoid having a difficult and unpleasant conversation"", ""none""]","[""none""]","[""a little bit like a coward for not stepping foreward"", ""worried that they should have been honest with Person Y"", ""hopeful person Y won't find out they knew the truth"", ""forgetful"", ""unreliable""]","[""to avoid PersonY"", ""to ignore PersonY"", ""to find out if PersonY was notified"", ""to do it without PersonY""]",tst,PersonX notifies PersonY
PersonX does not go down the tubes,"[""none""]","[""none""]","[""none"", ""to admire X"", ""to cheer X on""]","[""tenacious"", ""tough"", ""reliable"", ""stable"", ""solid""]","[""Pushed by older brother"", ""Flies into the wave pool"", ""none""]","[""to make things right"", ""to not disappoint their loved ones"", ""to stay safe"", ""to not get scared""]","[""to climb the tubes"", ""to try to fit"", ""to have had a setback"", ""to suffer a great blow""]","[""encouraged"", ""determined"", ""relieved"", ""content""]","[""to get skinnier"", ""to fit down next year"", ""to recover"", ""to gain strength""]",tst,PersonX goes down the tubes
PersonX does not break the news,"[""none""]","[""betrayed by PersonX"", ""distrust for PersonX""]","[""to know what happened"", ""to get news"", ""none""]","[""secretive"", ""careful"", ""selfish"", ""restraint""]","[""feels threatened"", ""gas out"", ""none""]","[""to keep a secret"", ""to avoid any possible chaos and unnecessary tension and fear"", ""afraid of the response"", ""forgot"", ""didn't want someone to hear""]","[""to learn something"", ""to decide to keep a secret"", ""none""]","[""happy about their own decision"", ""smart and intelligent"", ""ashamed"", ""embarassed"", ""relieved""]","[""to withhold information"", ""to keep a confidence"", ""to not say anything"", ""keep it secret""]",tst,PersonX breaks the news
PersonX does not dye PersonX's hair red,"[""none""]","[""none""]","[""none""]","[""selfish"", ""jealous"", ""sane"", ""professional""]","[""none""]","[""to keep their hair color"", ""to not have red hair"", ""to keep their hair natural"", ""to blend in""]","[""none""]","[""comfortable"", ""happy"", ""proud"", ""relieved"", ""remorseful""]","[""keep their hair the same"", ""pick a different color"", ""to keep the color they have"", ""to choose a different color""]",tst,PersonX dyes PersonX's hair red
PersonX does not show PersonX's mother,"[""none""]","[""rejected"", ""safe"", ""none""]","[""none"", ""to know why they are being avoided"", ""to hear personX's excuse""]","[""secretive"", ""furtive"", ""Close-mouthed""]","[""Scolded by mother"", ""Grounded for a month"", ""none""]","[""to avoid trouble"", ""to protect person"", ""to hide something"", ""to not worry mother""]","[""to keep the gift a surprise"", ""to keep his engagement on the down low"", ""none""]","[""embarrassed at family"", ""protective"", ""nervous"", ""crafty""]","[""to tuck it in the closet"", ""to announce it after dinner"", ""to avoid the conversation"", ""to stay away from their mother""]",tst,PersonX shows PersonX's mother
PersonX does not wipe PersonX's forehead,"[""none""]","[""none""]","[""none""]","[""conservative"", ""uncaring"", ""focused"", ""unwilling""]","[""PersonX gets sweat in their eyes"", ""PersonX's forehead continues to sweat"", ""Gets sweat in their eyes"", ""Goes blind from a bacterial infection""]","[""to avoid touching their face"", ""to avoid having to wash their hands again"", ""to keep playing"", ""to focus on the task""]","[""to sweat"", ""to get something on their forehead"", ""none""]","[""sweaty"", ""damp"", ""determined"", ""focused""]","[""to clean up their face"", ""to look in the mirror"", ""to find a towel"", ""to cool off""]",tst,PersonX wipes PersonX's forehead
PersonX does not love shoes,"[""none""]","[""none""]","[""none""]","[""Unfashionable"", ""confident"", ""carefree"", ""earthy""]","[""none"", ""Stubs their toes alot"", ""Gets dirty feet""]","[""none""]","[""have experience with shoes"", ""be unimpressed by shoes"", ""to have gone barefoot most of his life"", ""to have hard to fit feet""]","[""disgusted"", ""bored"", ""content"", ""at ease""]","[""avoid shoes"", ""find shoes they like"", ""to buy thong sandals"", ""to get custom made shoes""]",tst,PersonX loves shoes
PersonX does not practice singing,"[""none""]","[""none""]","[""none""]","[""tone-deaf"", ""normal"", ""undedicated"", ""untalented""]","[""gets booed"", ""does not get hired by band"", ""have no knowledge of singing notes"", ""be unable to sing high notes""]","[""to take a break"", ""to not try"", ""to practice another skill"", ""to relax""]","[""enter a singing class"", ""be in a chior"", ""to audition for the choir"", ""to choose a piece for the performance""]","[""lazy"", ""tired"", ""guilty"", ""blameworthy""]","[""quit the class"", ""quit the choir"", ""to go to the gym and work off tension"", ""to relax with friends""]",tst,PersonX practices singing
PersonX does not have a wonderful time on PersonX's trip,"[""none"", ""get a bad review"", ""have low repeat customer""]","[""none""]","[""none""]","[""lame"", ""sad"", ""boring"", ""hard to please""]","[""none"", ""have regrets"", ""give a bad review""]","[""none""]","[""buy the destination ticket"", ""pack luggage and check in to hotel"", ""to go on a trip"", ""to have a bad time on the trip""]","[""depressed"", ""preoccupied"", ""crestfallen"", ""disappointed"", ""unhappy""]","[""return home and unwind"", ""visit with friends and catch up"", ""to get home"", ""to go somewhere else next time""]",tst,PersonX has a wonderful time on PersonX's trip
PersonX does not lead PersonY expedition,"[""personY is lost at sea"", ""personY dies"", ""none""]","[""like X should lead"", ""unsure"", ""none""]","[""none"", ""to have someone else lead it"", ""to take it without PersonX""]","[""selfish"", ""lazy"", ""unconfident"", ""a follower""]","[""none""]","[""to not lead"", ""to be a follower"", ""to follow someone else""]","[""meet person y"", ""know about the expedition"", ""to not sign up to lead"", ""to do nothing in particular""]","[""content"", ""assured"", ""like a follower"", ""weak""]","[""to stay home"", ""lead another expedition"", ""to not go on the expedition"", ""to ask about it afterwards""]",tst,PersonX leads PersonY expedition
