event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX in no way asks PersonY's forgiveness,"[""gets consoled"", ""gets compliments"", ""none""]","[""angry at the arrogance of PersonX"", ""confused about the issue"", ""insulted"", ""disrespected""]","[""to demand an apology"", ""to kick their friend out"", ""to offer forgiveness"", ""to hold a grudge""]","[""hard-nosed"", ""uncompromising"", ""rude"", ""uncaring""]","[""gets reprimanded"", ""gets shunned"", ""thinks of past regrets"", ""is forgiven""]","[""to drive home the point"", ""to end the friendship for good"", ""to maintain their dignity"", ""to not admit any wrongdoing""]","[""to make a mistake"", ""to hurt PersonY profoundly"", ""avoid asking forgiveness"", ""do something to illicit possible forgiveness""]","[""relieved to be rid of them"", ""guilty for being harsh"", ""proud"", ""stubborn""]","[""to ignore everyone"", ""to cover their ears and listen to music"", ""to be forgiven"", ""to avoid the issue""]",trn,PersonX asks PersonY's forgiveness,in no way,multi_word
PersonX hardly gets a gift,"[""none""]","[""none""]","[""none""]","[""friendless"", ""lonely"", ""aloof"", ""stingy"", ""unkind""]","[""sighs"", ""frowns"", ""thinks of what is in the box"", ""jumps in happiness""]","[""none""]","[""to get a work"", ""be loner"", ""be annoying""]","[""disappointed"", ""angry"", ""grumpy"", ""unlucky""]","[""to get a work"", ""work on ways to improve self"", ""accept facts""]",trn,PersonX gets a gift,hardly,single_word
PersonX uncurls PersonY's fingers,"[""PersonY's palm becomes exposed"", ""Person Y's yells in pain as their fingers are curled from a medical issue"", ""none""]","[""none"", ""to write"", ""to play""]","[""to go hospital"", ""to get treated"", ""get help"", ""get person x arrested for stealing""]","[""sad"", ""joy"", ""aggressive"", ""disrespectful of others' space""]","[""is yelled at for involuntary touch"", ""almost vomits in disgust at the sight of Person Y's finger nails"", ""none""]","[""none"", ""to get a plan""]","[""to help persony"", ""to get persony a help"", ""to know person y"", ""person y to have something that person x wants""]","[""tender"", ""caring"", ""to get a plan"", ""to rise""]","[""persony to go a hospital"", ""persony to get treatments"", ""to take item from person y"", ""punish person y""]",trn,PersonX curls PersonY's fingers,uncurl,affixes_verb
PersonX is no longer PersonY's date,"[""none""]","[""guilty"", ""ashamed"", ""none""]","[""to go home"", ""to keep looking for a partner"", ""to find a replacement date"", ""to stay in""]","[""fickle"", ""rude"", ""scorned"", ""unavailable""]","[""none"", ""gets dumped"", ""gets betrayed""]","[""none""]","[""to make contact with person y"", ""to have been person y's date at one point"", ""to univite personY"", ""to be uninvited by Person Y""]","[""disrespected"", ""lonely"", ""stood up"", ""sad"", ""uhappy""]","[""to date someone else"", ""head home"", ""Find a new date"", ""to stay inside""]",trn,PersonX is PersonY's date,no longer,multi_word
PersonX is scarcely walking to work,"[""none""]","[""none""]","[""none""]","[""lazy"", ""relaxed"", ""slow"", ""unmotivated""]","[""none"", ""they get to work on time"", ""they arrive at work""]","[""to drive"", ""to take the bus"", ""to be careful during the walk"", ""to make it to work on time""]","[""none"", ""to drive a car"", ""to ride his bike""]","[""bored"", ""sick of it"", ""relieved"", ""grateful""]","[""to be on welfare"", ""to be lazy"", ""to park his car"", ""to sit at his desk""]",trn,PersonX is walking to work,scarcely,single_word
PersonX by no means adds PersonY,"[""none""]","[""none"", ""rejected"", ""alienated""]","[""to join PersonX"", ""to complain"", ""none""]","[""mean"", ""unfriendly"", ""disrespectful"", ""selfish""]","[""none""]","[""none"", ""to add someone else"", ""avoid person y""]","[""to receive a friend request from PersonY"", ""to be told to include PersonY"", ""none""]","[""caring"", ""deserving"", ""discerning"", ""careful""]","[""to avoid PersonY"", ""to not work with PersonY"", ""to include someone else"", ""to invite PersonA""]",trn,PersonX adds PersonY,by no means,multi_word
PersonX avoids seeing PersonY in years,"[""none"", ""becomes less involved with person x"", ""develops anger issues""]","[""confused"", ""like personx is avoiding them"", ""none""]","[""none""]","[""reluctant"", ""evasive"", ""unfriendly"", ""unsociable"", ""busy"", ""mad""]","[""doesn't meet up"", ""doesn't catch up"", ""none""]","[""to stay away"", ""to avoid persony"", ""none""]","[""move away"", ""change the phone number"", ""none""]","[""unphased"", ""fine"", ""sad"", ""unfriendly""]","[""keep hiding out"", ""make new friends""]",trn,PersonX sees PersonY in years,avoid,verb
PersonX not by any means takes my dog,"[""none""]","[""none""]","[""none"", ""give thanks"", ""visit the dog""]","[""respectful"", ""honorable"", ""fearful"", ""unloving""]","[""none""]","[""none""]","[""none"", ""pick up the dog"", ""agree to care for the dog""]","[""no dog"", ""to eat"", ""responsible"", ""respectful""]","[""make sure dog is secure"", ""install cameras"", ""take the dog home"", ""make the dog comfortable""]",trn,PersonX takes my dog,not by any means,multi_word
PersonX in no way narrows PersonY's choices,"[""none""]","[""none"", ""to plan"", ""make friendsa""]","[""get touched"", ""do narrow"", ""none""]","[""permissive"", ""kind"", ""confused"", ""puzzled""]","[""none""]","[""to experience many things"", ""to keep busy"", ""get narroy"", ""make narroys""]","[""plan for meet a person"", ""none""]","[""exhilerated"", ""excited"", ""next plan"", ""to rest""]","[""to narrow"", ""choice one"", ""talk to someone else"", ""take care of another concern""]",trn,PersonX narrows PersonY's choices,in no way,multi_word
PersonX is scarcely laughing at PersonY,"[""cries"", ""gets hurt"", ""none""]","[""confused"", ""disheartened"", ""none""]","[""to ask what is funny"", ""to talk about something else"", ""to tell PersonY to stop laughing"", ""to start laughing""]","[""respectful"", ""kind"", ""mean"", ""careless""]","[""is told to stop laughing"", ""is yelled at"", ""none""]","[""none""]","[""to witness something slightly humorous"", ""to go near PersonY"", ""to talk to PersonY"", ""to laugh at PersonY""]","[""unimpressed"", ""annoyed"", ""sad"", ""stressed""]","[""to keep a straight face"", ""to mention why they are laughing"", ""to stop laughing"", ""to laugh some more""]",trn,PersonX is laughing at PersonY,scarcely,single_word
PersonX resists giving it to PersonX's mother,"[""argued with"", ""cringes"", ""get healthy"", ""resists""]","[""none"", ""pent up"", ""frustrated""]","[""none""]","[""controlled"", ""trustworthy"", ""protective"", ""tentative"", ""doubtful"", ""unsure""]","[""yelled at"", ""punished"", ""is scolded"", ""is yelled""]","[""none"", ""to give it to someone else"", ""to give it to themselves""]","[""none""]","[""mean"", ""selfish"", ""blue"", ""pent up""]","[""to be cautious"", ""avoid problems"", ""keep the item"", ""be selfish""]",trn,PersonX gives it to PersonX's mother,resist,verb
PersonX no longer sees PersonY's favorite band in concert,"[""loses a friend"", ""becomes lonely"", ""loses friend"", ""gets new friend""]","[""disappointed"", ""upset"", ""none""]","[""better attendance at their shows"", ""to see person X in the crowd"", ""none""]","[""uninterested"", ""uninvited"", ""angry""]","[""none"", ""loses friend"", ""gets new friend""]","[""none""]","[""to cancel a ticket"", ""to decide not to go to the concert"", ""be friends with person y"", ""been inivited to and not liked person y favorite band""]","[""disappointed that they couldn't go"", ""guilty for letting PersonY down"", ""poor"", ""cashless""]","[""to relax at home"", ""to listen to other music"", ""stop taking music reccomendations from person y"", ""make reccomendations on own music""]",trn,PersonX sees PersonY's favorite band in concert,no longer,multi_word
PersonX has unmade a mistake,"[""none""]","[""none""]","[""to forgive person X"", ""to spend more time with person X"", ""let it go"", ""let personX have another change""]","[""Cautious"", ""Mindful"", ""painstaking"", ""relentless""]","[""messed up"", ""did the wrong thing"", ""smiles"", ""laughs""]","[""to try a new adventure"", ""to make a new friend"", ""none""]","[""to acknowledge a prior failure"", ""to take steps to right this wrong"", ""have made a mistake"", ""make ammends""]","[""disappointed"", ""scared"", ""terrible"", ""sorry""]","[""to celebrate"", ""to rest"", ""regain trust"", ""continue to apologize""]",trn,PersonX has made a mistake,unmade,affixes_verb
PersonX has problem with losing the first game,"[""are fed up with PersonX's antics"", ""try to collectively find a solution"", ""they have to listen to a temper tantrum""]","[""none""]","[""none""]","[""spoiled"", ""resentful"", ""determined"", ""hardworking""]","[""he is told to clam down"", ""he is kicked out of the locker room"", ""none""]","[""none""]","[""none""]","[""competitive"", ""dominated"", ""unfairly treated"", ""jealous""]","[""practice before the competition continues"", ""cheat to win"", ""to practice more"", ""to sulk""]",trn,PersonX loses the first game,have problem with,multi_word
PersonX is rarely on vacation at the beach,"[""none""]","[""none""]","[""none""]","[""stressed"", ""preoccupied"", ""overworked"", ""busy""]","[""stays home"", ""is pale"", ""gets stressed out"", ""does not get to see the beach""]","[""to get a plan"", ""none""]","[""to plan a non beach trip"", ""to avoid the shore"", ""have responsibilities"", ""be broke""]","[""to walk"", ""to rest"", ""overburdened"", ""stressed""]","[""to visit mountains"", ""to snow ski"", ""to hike"", ""save up money"", ""take off work""]",trn,PersonX is on vacation at the beach,rarely,single_word
PersonX lives without PersonX's sister,"[""none""]","[""betrayed"", ""sad"", ""none""]","[""visit personX"", ""get their own place too"", ""none""]","[""independent"", ""isolated"", ""alone"", ""free""]","[""thinks of getting a roomate"", ""stresses about being alone"", ""thinks about sister"", ""stresses over sisters whereabouts""]","[""to leave earlier"", ""to ignore her"", ""none""]","[""move out"", ""find a place to live alone"", ""none""]","[""guilty"", ""bewildered"", ""lonely"", ""sad""]","[""have a housewarming party"", ""enjoy privacy"", ""visit sister"", ""call sister on phone"", ""invite sister to visit""]",trn,PersonX lives with PersonX's sister,without,single_word
PersonX not by any means wears deodorant,"[""none""]","[""grossed-out"", ""uncomfortable"", ""annoyed by the smell"", ""uncomfortable with PersonX's hygiene""]","[""none""]","[""smelly"", ""disgusting"", ""nasty"", ""inconsiderate""]","[""take a shower"", ""wash clothes"", ""thinks about smelling better"", ""stresses people will hate how he smells""]","[""save time getting ready"", ""save money"", ""to be natural"", ""to avoid chemicals""]","[""none""]","[""comfortable"", ""indifferenet"", ""a bit stinky"", ""environmentally conscious""]","[""to wash their underarms"", ""to take frequent showers"", ""to spray perfume"", ""to buy a cologne""]",trn,PersonX wears deodorant,not by any means,multi_word
PersonX no longer takes the money,"[""none""]","[""dismissed"", ""unimportant"", ""none""]","[""personX to accept the payment"", ""to harm personX for refusing a bribe"", ""none""]","[""principled"", ""honest"", ""altruistic"", ""generous""]","[""none"", ""thinks all of his banking will now be online"", ""stresses people won't pay him now""]","[""to live by their own means"", ""to be independent"", ""to be a better person"", ""not to get caught""]","[""none"", ""been asked to take bribes"", ""made a pack with a corporaton""]","[""strong"", ""willful"", ""relieved"", ""proud""]","[""to continue being honest"", ""to refrain from dealing with people who break the law"", ""gets called out by public for scandel"", ""gets arrested""]",trn,PersonX takes the money,no longer,multi_word
PersonX is unafraid of heights,"[""none""]","[""none""]","[""none""]","[""daring"", ""brave"", ""courageous""]","[""offered climbing job"", ""gains skills"", ""gets pushed off the edge"", ""heartbeat calms down""]","[""none"", ""to get a plan""]","[""none""]","[""fearless"", ""courageous"", ""to get a plan""]","[""climb a large cliff or mountain"", ""by gear to go with"", ""to gain confidence"", ""to avoid high places""]",trn,PersonX is afraid of heights,unafraid,affixes_adj
PersonX gets very unangry,"[""none""]","[""scared"", ""fearful"", ""none""]","[""none""]","[""laid-back"", ""rational"", ""peaceful"", ""easy going""]","[""decreases blood pressure"", ""gets muscles relaxed"", ""none""]","[""none""]","[""none"", ""get a gift""]","[""fuming"", ""violent"", ""angry"", ""disappointed""]","[""to celebrate with family"", ""to take a nice bath"", ""get a gift""]",trn,PersonX gets very angry,unangry,affixes_adj
PersonX by no means takes PersonX's cat,"[""none""]","[""none""]","[""none"", ""find the cat"", ""get help""]","[""Nervous"", ""Upset"", ""allergic"", ""busy""]","[""becomes certain about the cat's safety"", ""gets less burdened"", ""Caught by animal control"", ""Prosecuted for animal abuse""]","[""none"", ""to get a plan""]","[""to have wanted a pet"", ""to have found a cat"", ""none""]","[""anxious"", ""unfriendly"", ""to get a plan""]","[""find a shelter for his cat"", ""give his cat away"", ""help find the cat"", ""avoid the cat""]",trn,PersonX takes PersonX's cat,by no means,multi_word
PersonX has trouble with getting to see PersonY,"[""none""]","[""loved"", ""missed"", ""desperate to see personx"", ""none""]","[""to see their friend"", ""host their person X"", ""none""]","[""confused"", ""puzzled"", ""stressed"", ""anxious""]","[""gets a worried phone call"", ""is accused of cheating"", ""gets tackled"", ""gets handcuffed""]","[""none""]","[""to leave their house"", ""get in the cab"", ""none""]","[""defeated"", ""desperate to see persony"", ""angry"", ""sad""]","[""to make it to their friend"", ""to get a transportation"", ""to call them"", ""visit them""]",trn,PersonX gets to see PersonY,have trouble with,multi_word
PersonX avoids offering PersonY the job,"[""goes hungry"", ""goes broke"", ""applies at another place"", ""cries""]","[""disappointed"", ""helpless"", ""terrible"", ""unwanted""]","[""to look for work at another company"", ""beg for any offer"", ""to drown their sorrows"", ""to look for a different job""]","[""great"", ""good"", ""nonconfrontational"", ""unassured""]","[""none""]","[""a better qualified candidate"", ""to force Y to accept less compensation"", ""to discriminate"", ""only hire whites""]","[""none"", ""to read a resume"", ""to find out PersonY is a felon""]","[""smart"", ""powerful"", ""good"", ""smug""]","[""to hire someone else"", ""to help PersonY find work elsewhere"", ""to apologize to PersonY"", ""to send PersonY away""]",trn,PersonX offers PersonY the job,avoid,verb
PersonX opposes following PersonY's course,"[""none""]","[""rejected"", ""down played"", ""none""]","[""go their way"", ""follow personX"", ""none""]","[""singleminded"", ""noncompliant"", ""stubborn"", ""adamant""]","[""none"", ""follows their own course"", ""learns a new skill""]","[""to make his own choices"", ""to forge ahead on his own"", ""none""]","[""be aware of personY's plan"", ""have a different route in mind"", ""work for person y"", ""disagree with person y action""]","[""indepedant"", ""self sufficient"", ""principled"", ""decided""]","[""to go their own way"", ""plan a different route"", ""change jobs"", ""try to get person y fired""]",trn,PersonX follows PersonY's course,oppose,verb
PersonX discontinues teaching PersonY everything,"[""PersonY obtains less teaching"", ""PersonY needs another teacher"", ""doesn't learn"", ""isn't taught""]","[""unfulfilled"", ""wanting"", ""scared"", ""worried""]","[""to find a new tutor"", ""to pay for the answers"", ""to find a new teacher"", ""to learn from someone else""]","[""mean"", ""tired"", ""stupid"", ""done""]","[""PersonX enjoys more discretionary time"", ""PersonX relinquishes responsibility for PersonY"", ""none""]","[""for PersonY to start learning for themselves"", ""to worry about their own education for a while"", ""to take a vacation"", ""to make PersonY work for himself""]","[""to do the lessons"", ""to arrange a meet"", ""to meet Y"", ""to begin instructing Y""]","[""self-righteous"", ""unwavering"", ""calm"", ""decisive""]","[""to cancel the meeting"", ""to move away at night"", ""to avoid Y"", ""to stop meeting Y""]",trn,PersonX teaches PersonY everything,discontinue,verb
PersonX has problem with finding PersonY apartment,"[""none""]","[""none"", ""worried about where personX is"", ""anxious that personX hasn't arrived""]","[""to wonder where PersonX is"", ""to call PersonX"", ""none""]","[""directionally challenged"", ""dumb"", ""lacking in a sense of direction"", ""uncoordinated""]","[""gets lost"", ""calls personY"", ""panics"", ""cries""]","[""none""]","[""to look for the apartment"", ""to not find it right away"", ""none""]","[""disapointed"", ""unsatisfied"", ""they don't understand directions well"", ""lost in the neighborhood""]","[""to ask directions"", ""to call PersonY""]",trn,PersonX finds PersonY apartment,have problem with,multi_word
PersonX in no way does what PersonY loves,"[""goes alone"", ""doesn't see PersonX"", ""none""]","[""annoyed"", ""let down"", ""disappointed"", ""resentful"", ""powerless""]","[""be acknowledged"", ""do what they like"", ""none""]","[""scornful"", ""resentful"", ""mean"", ""unkind"", ""Unique"", ""Special""]","[""none"", ""loses friend"", ""gets yelled at""]","[""to do something else"", ""to find something less boring to do"", ""live his own life"", ""maintain his independence""]","[""none"", ""be in relationship with person y"", ""not care enough about person y""]","[""bored"", ""unapologetic"", ""free"", ""independent""]","[""be more thoughtful"", ""pay attention to what personY likes"", ""break up with person y"", ""appologize""]",trn,PersonX does what PersonY loves,in no way,multi_word
PersonX prevents themselves from riding PersonX's skateboard,"[""none""]","[""none""]",,"[""hesitant"", ""careful"", ""injured"", ""unmotivated""]","[""none"", ""they can't get home"", ""walk to destination""]","[""to be safe"", ""to do something else"", ""none""]",,"[""safe"", ""good about themselves"", ""responsible""]",,trn,PersonX rides PersonX's skateboard,prevent,verb
PersonX seldomly accepts PersonY,"[""gets left out"", ""mental health declines"", ""none""]","[""hurt"", ""rejected"", ""sad"", ""left out""]","[""to know why PersonX is so distant"", ""to know what they did wrong"", ""to cry"", ""to yell at PersonX"", ""to find new friends to accept them""]","[""coldblooded"", ""rude"", ""mean"", ""pompous"", ""rigid""]","[""none"", ""loses a friend"", ""is served divorce papers""]","[""to drive PersonY away"", ""to be on their own"", ""to be mean to Y"", ""to be left alone""]","[""none"", ""to be picky about friend choices"", ""To be a loner""]","[""guilty"", ""uninterested"", ""powerful"", ""controlling""]","[""to stay away from PersonY"", ""to not have to deal with PersonY"", ""to spend time alone"", ""to spend time with other friends"", ""to regret being selfish""]",trn,PersonX accepts PersonY,seldomly,single_word
PersonX untangles PersonY's fingers,"[""gets a hug"", ""gets helped to stand"", ""their cramps are relieved""]","[""none""]","[""thank PersonX"", ""wiggle hands"", ""none""]","[""careful"", ""cautious"", ""helpful"", ""caring"", ""concerned""]","[""gets thanked"", ""gets kissed"", ""none""]","[""none""]","[""place hands near PersonY's fingers"", ""be near PersonY"", ""to be around person y"", ""seem them struggling for help""]","[""skilled"", ""happy"", ""careful"", ""caring""]","[""tell person y to be more careful in future"", ""hang out with person y more""]",trn,PersonX tangles PersonY's fingers,untangle,affixes_verb
PersonX rarely takes PersonY's dog out,"[""has to make an extra effort"", ""yells at person x"", ""none""]","[""upset"", ""disappointed"", ""annoyed"", ""perturbed""]","[""none""]","[""selfish"", ""lazy"", ""negligent"", ""disinterested""]","[""none""]","[""to work"", ""to make money by petsitting"", ""to avoid exercising"", ""to be lazy""]","[""none"", ""to be roomates with person y"", ""to have a job that keeps person x busy""]","[""lazy"", ""tired"", ""sorry""]","[""hire a dog sitter for person y"", ""try to take time off for person y dog""]",trn,PersonX takes PersonY's dog out,rarely,single_word
PersonX is deprived of a new friend,"[""gets left behind"", ""left to fend for themself"", ""none""]","[""none"", ""manipulated"", ""subverted""]","[""to be friends with personx"", ""to ignore and ridicule person x and find other friends than person  x"", ""none""]","[""Depressed"", ""Sad"", ""Angry"", ""needy"", ""lonely""]","[""gets lonely"", ""gets isolated"", ""tries to figure it out"", ""shows negative feelings""]","[""none""]","[""none""]","[""lacking"", ""sad"", ""cheated""]","[""to find out why the other person dosen't like person x"", ""to find someone else to befriend"", ""to hang out with his current associates"", ""to find another avenue to meet people""]",trn,PersonX has a new friend,is deprived of,multi_word
PersonX hardly ever cleans up PersonX's act,"[""none""]","[""to get a plan"", ""none""]","[""none""]","[""irresponsible"", ""reckless"", ""amoral"", ""careless""]","[""feels inadequate"", ""remains unfocused"", ""gets yelled at"", ""gets fired""]","[""to get a plan"", ""none""]","[""none""]","[""made good"", ""to work"", ""dirty"", ""bad""]","[""to be carefree"", ""to just have fun"", ""live recklessly"", ""have more fun""]",trn,PersonX cleans up PersonX's act,hardly ever,multi_word
PersonX has problem with wanting to impress PersonY's friends,"[""none""]","[""none""]","[""none""]","[""eager"", ""excitable"", ""insecure"", ""arrogant""]","[""frowns"", ""looks at PersonY's friends"", ""feels inadequate"", ""reconsiders their actions""]","[""to get a plan"", ""none""]","[""none""]","[""to get a plan"", ""impressive"", ""quick""]","[""to ignore them"", ""stop caring about others opinions""]",trn,PersonX wants to impress PersonY's friends,have problem with,multi_word
PersonX is deprived of fun with PersonY's friends,"[""none"", ""gets told stories"", ""gets a hug""]","[""bad for PersonX"", ""awkward"", ""powerful"", ""bossy""]","[""none""]","[""Sad"", ""Depressed"", ""Angry"", ""unpopular"", ""disliked""]","[""they cry"", ""gets removed from the game"", ""gets taken to detention""]","[""none""]","[""to have known person y and friends"", ""to have been asked out with person y and friends"", ""none""]","[""left-out"", ""uncomfortable"", ""bored"", ""upset""]","[""avoid person y and friends in future"", ""go out and make new friends"", ""find someone else to have fun with"", ""find out why""]",trn,PersonX has fun with PersonY's friends,is deprived of,multi_word
PersonX is hardly bothering PersonY,"[""none""]","[""none""]","[""to finish their task"", ""to thank PersonX"", ""to stay"", ""to work""]","[""quiet"", ""reserved"", ""respectful""]","[""feels like a failure"", ""behaves mean to others"", ""wants to hang out with friends"", ""wants to go out""]","[""none""]","[""none"", ""plan for meet a person"", ""to bother""]","[""unsatisfied"", ""unhappy"", ""lost"", ""alone""]","[""to be a good friend"", ""to let PersonY work"", ""to bother"", ""to stay""]",trn,PersonX is bothering PersonY,hardly,single_word
PersonX halts risking PersonY's life,"[""Stays alive"", ""Is well"", ""smiles"", ""sighs""]","[""safe"", ""relieved"", ""none""]","[""none"", ""to go to a safer place"", ""to have an adventure""]","[""sad"", ""joy"", ""careful"", ""prudent""]","[""none"", ""thanked"", ""smiles""]","[""PersonY to live"", ""to not cause harm"", ""none""]","[""plan for meet a person"", ""to be in a perilous situation"", ""to be with PersonY""]","[""responsible"", ""guilty"", ""caring"", ""happy""]","[""to stay"", ""to plan"", ""to keep PersonY safe"", ""to go to a safer place""]",trn,PersonX risks PersonY's life,halt,verb
PersonX discontinues driving PersonY automobile,"[""sighs in relief"", ""smiles"", ""none""]","[""annoyed"", ""frustrated"", ""none""]","[""use of their vehicle"", ""to drive"", ""to lend their car to someone else"", ""to vacuum their seats""]","[""Wary"", ""Careful"", ""stable"", ""careful""]","[""sighs in relief"", ""smils"", ""buys car"", ""drives own""]","[""to not be responsible"", ""to sit in the passenger seat"", ""to drive PersonX car"", ""to walk""]","[""none"", ""to take the keys out"", ""to return the car""]","[""free"", ""relaxed"", ""happy to walk"", ""good""]","[""to drive their own car"", ""to have Y drive a while"", ""to buy their own car"", ""to visit a junkyard""]",trn,PersonX drives PersonY automobile,discontinue,verb
PersonX is seldomly a basketball player,"[""none""]","[""none"", ""dominant"", ""superior""]","[""none""]","[""short"", ""overweight"", ""unskilled"", ""bad"", ""fake""]","[""gets pushed over"", ""gets fouled"", ""none""]","[""to be an accountant"", ""to avoid sports"", ""none""]","[""none"", ""not be very good at basketball"", ""be preoccupied by school""]","[""happy"", ""satisfied"", ""untrained"", ""outgunned""]","[""to play a different sport"", ""to focus on school work"", ""to improve basketball skills"", ""take time off from learning to practice""]",trn,PersonX is a basketball player,seldomly,single_word
PersonX lacks fun with PersonX's friends,"[""none""]","[""sad"", ""lonely"", ""bored""]","[""none"", ""make plans to do something else"", ""ask personX for ideas for stuff to do""]","[""boring"", ""uneventful"", ""dull""]","[""none"", ""is bored"", ""is lonely""]","[""to go out with another friend"", ""to be at home"", ""to stay home and rest"", ""to spend the day at work""]","[""none"", ""go out with personX's friends"", ""fail to have a good time""]","[""mad"", ""lonely"", ""relaxed"", ""productive""]","[""to have adventure"", ""make things happen"", ""find something else to do"", ""go home""]",trn,PersonX has fun with PersonX's friends,lack,verb
PersonX no longer brushes PersonY teeth,"[""teeth rot out"", ""get cavities"", ""teeth rot"", ""teeth fall out""]","[""upset"", ""helpless"", ""apprehensive"", ""annoyed""]","[""none"", ""to do it themselves"", ""be proud""]","[""bored"", ""unresponsive"", ""lazy"", ""slothful""]","[""gets called neglectful"", ""gets told they're a bad mom"", ""none""]","[""to do a different job"", ""to leave PersonY"", ""persony to brush their own teeth"", ""to stop babying persony""]","[""to quit his aide job"", ""to break his fingers"", ""none""]","[""annoyed"", ""decisive"", ""confident"", ""responsible""]","[""to go home"", ""to ask someone else to help"", ""them to do it"", ""not be a nanny""]",trn,PersonX brushes PersonY teeth,no longer,multi_word
PersonX has always unwanted to see PersonY,"[""is flattered"", ""runs into PersonX"", ""never sees PersonX"", ""none""]","[""none"", ""happy"", ""welcoming""]","[""plan to meet friends"", ""to wear a mask"", ""to hide their face with their hair""]","[""disinterested"", ""uncurious"", ""hateful"", ""uncompassionate""]","[""meets PersonY"", ""doesn't ever run into PersonY"", ""none""]","[""none"", ""to avoid Y"", ""to stay away from Y""]","[""plan to meet friends"", ""none""]","[""missing someone"", ""lonely"", ""awkward"", ""anxious""]","[""plan to meet friends"", ""to look away"", ""to stay in their basement""]",trn,PersonX has always wanted to see PersonY,unwanted,affixes_adj
PersonX in no way pulls PersonY away,"[""stays stuck"", ""stays in place"", ""none""]","[""unassuming"", ""unaware"", ""to get a plan""]","[""none"", ""to converse with PersonY"", ""to take PersonY somewhere else""]","[""caring"", ""cautious"", ""instigator"", ""petty""]","[""none""]","[""to leave person y alone"", ""to interact with someone else"", ""to get a plan"", ""pla""]","[""be friends with person y"", ""comfort them"", ""to know PersonY"", ""to hang out with PersonY""]","[""wary"", ""cautious"", ""plan well"", ""to get a plan""]","[""stay friends with person y"", ""ask them out"", ""to pull PersonY away"", ""to leave PersonY where they are""]",trn,PersonX pulls PersonY away,in no way,multi_word
PersonX feels unlike a man,"[""none""]","[""none""]","[""none""]","[""Deflated"", ""Feminized"", ""feminine"", ""discreet""]","[""gets shamed by others"", ""gets attacked"", ""Becomes feminine"", ""Is confused""]","[""none""]","[""to fail a test of their courage"", ""to have their testicles removed"", ""none""]","[""uncomfortable in their body"", ""dissatisfied with themself"", ""sad"", ""worthless""]","[""to assert their masculinity"", ""to beat someone up to feel more confident"", ""to go dress shopping"", ""to make their debut at the club""]",trn,PersonX feels like a man,unlike,affixes_adj
PersonX no longer beats PersonY's personal record,"[""none""]","[""super"", ""motivated to do it again"", ""none""]","[""to keep the record"", ""to rub it in person x's face"", ""none""]","[""weak"", ""tired"", ""walk"", ""run""]","[""has negative thoughts"", ""stresses over record"", ""trains harder"", ""feels upset""]","[""none""]","[""to have held the record"", ""to compete with person y"", ""none""]","[""defeated"", ""challenged"", ""like trying harder"", ""like practicing more"", ""like wanting to try again""]","[""to challenge person y for the record"", ""to try harder to regain the record""]",trn,PersonX beats PersonY's personal record,no longer,multi_word
PersonX stops getting a ride,"[""none""]","[""none""]","[""none"", ""to ask person x to reconsider"", ""to find another person to ride in the car to help with gas money""]","[""tired"", ""frustrated"", ""self-reliant"", ""self-supporting""]","[""misses event"", ""stays home"", ""gets kicked out"", ""gets disrespected""]","[""none"", ""to walk and get exercise"", ""to drive themself""]","[""none"", ""to let their ride know of person x's change of plans"", ""to buy a bike""]","[""tired"", ""bored"", ""Athletic"", ""Healthy"", ""Independent""]","[""their own car"", ""to avoid mooching"", ""use a bicycle to get to work"", ""to walk to work""]",trn,PersonX gets a ride,stop,verb
PersonX in no way asks a girl,"[""none""]","[""none""]","[""none""]","[""shy"", ""afraid"", ""hesitant""]","[""gets ignored"", ""is not paid attention to"", ""gets support from wingman"", ""gets glance from other female""]","[""to avoid rejection"", ""to be left alone"", ""none""]","[""none"", ""be shy"", ""have known a girl""]","[""despondent"", ""morose"", ""shy"", ""anxious""]","[""finds a guy to ask"", ""does not ask anybody"", ""find out help to become less shy"", ""talk to girl first before workng up courage""]",trn,PersonX asks a girl,in no way,multi_word
PersonX is uneager to try it,"[""none""]","[""none""]","[""none""]","[""Cowardly"", ""Prudent"", ""Careless"", ""Uninterested"", ""Conventional""]","[""frowns"", ""sweats"", ""none""]","[""to work"", ""to make money"", ""none""]","[""none"", ""find something new"", ""come across something gross looking""]","[""tired"", ""unmotivated"", ""hardworking"", ""anxious""]","[""to do something else"", ""to find someone else to try it first"", ""to make something else"", ""to go with something more familiar""]",trn,PersonX is eager to try it,uneager,affixes_adj
PersonX not by any means calls PersonY's wife,"[""none""]","[""none""]","[""none""]","[""Respectful"", ""Worried"", ""impolite"", ""unfriendly""]","[""none""]","[""none""]","[""none""]","[""caring"", ""mindful"", ""satisfied"", ""cotented""]","[""to call someone they know better"", ""to call their friend instead"", ""to stay out of the drama"", ""to respect PersonY""]",trn,PersonX calls PersonY's wife,not by any means,multi_word
