event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX marries PersonX's partner,trn,"[""faithful"", ""loving"", ""in love"", ""committed""]","[""gains spouse"", ""gets hugged"", ""kiss"", ""grow closer to partner""]","[""has new spouse"", ""hears vows"", ""kiss"", ""grow closer to partner""]","[""happy"", ""excited"", ""satisfied""]","[""none""]","[""to  get new child"", ""enjoy the life"", ""to live with their partner for the rest of their lives"", ""tell their partner how much they love them every day""]","[""none""]","[""none""]","[""none""]",PersonX loses PersonX's wife
PersonX makes PersonY tired.,trn,"[""active"", ""adventurous"", ""exhausting"", ""draining""]","[""none""]","[""none"", ""they go to sleep""]","[""like they did well"", ""like a good workout instructor"", ""worn out"", ""exhausted themselves""]","[""exhausted"", ""worn out"", ""like going to bed""]","[""to let them rest"", ""to give them a massage"", ""help y"", ""apolisize""]","[""none""]","[""them to get in shape"", ""to wear them out"", ""personyY to go to bed"", ""personY to sleep for a long time""]","[""none""]",PersonX keeps PersonY awake
PersonX checks PersonY's text messages,trn,"[""nosey"", ""steathly"", ""careful"", ""guarding""]","[""none""]","[""they are called out for an affair"", ""they are broken up with"", ""none""]","[""in the know"", ""sneaky"", ""guilty"", ""ashamed""]","[""none"", ""betrayed"", ""cheated""]","[""to keep the phone"", ""to water plants"", ""to give the phone to PersonY"", ""to discretely put away the phone""]","[""none"", ""to check their messages"", ""to scold PersonX for snooping""]","[""be nosy"", ""find information"", ""to find out what was talked about"", ""to see if Person Y is cheating""]","[""to get the phone"", ""to open the message"", ""to see PersonY's phone"", ""to look at PersonY's phone screen""]",PersonX checks PersonY's mailbox
PersonX doesnt keep in touch with PersonY,trn,"[""forgetful"", ""lonely"", ""distant"", ""remise""]","[""gets followed up with"", ""is forgotten"", ""none""]","[""is forgotten"", ""is conversed with"", ""none""]","[""guilty"", ""annoyed"", ""lonely"", ""rude""]","[""abandoned"", ""irritated"", ""none""]","[""to be alone"", ""to be free"", ""to call PersonY to catch up"", ""to see PersonY""]","[""none"", ""to hear from PersonX"", ""to take PersonX out to dinner""]","[""to avoid PersonY"", ""to do other things instead"", ""none""]","[""none""]",PersonX keeps in touch with PersonY
PersonX attaches PersonY's fingers,trn,"[""mean"", ""rude"", ""skilled"", ""talented""]","[""none"", ""they are thanked"", ""they are paid""]","[""none"", ""they can use their hands again""]","[""attentive"", ""happy"", ""successful"", ""relieved""]","[""none"", ""grateful"", ""happy""]","[""wrap them up"", ""deliver the news"", ""to hold the hands"", ""to be more lovable""]","[""take some medicine"", ""rest"", ""none""]","[""none"", ""to save person Y's hand"", ""to help Y maintain bloodflow""]","[""get some tools"", ""put on a mask"", ""sanitize"", ""none""]",PersonX removes PersonY's fingers
PersonX is too busy to assist PersonY,trn,"[""preoccupied"", ""driven"", ""busy""]","[""none""]","[""none"", ""they are not assisted""]","[""rushed"", ""sad they are not able to help"", ""busy"", ""guilty""]","[""lonely"", ""in need of help"", ""none""]","[""alone"", ""free"", ""to free up some time"", ""to find a way to help""]","[""none"", ""to stop struggling"", ""to avoid asking personx""]","[""none""]","[""none""]",PersonX gives PersonY a hand
PersonX calls PersonX's hospital,trn,"[""curious"", ""proactive"", ""thoughtful"", ""interested""]","[""receives call back"", ""does not receive call"", ""none""]","[""none""]","[""helped"", ""at peace"", ""responsible"", ""loving""]","[""none""]","[""to keep the phone"", ""to go back to work"", ""to speak with a nurse"", ""to talk about health concerns"", ""to discuss bills""]","[""none""]","[""get updated"", ""get help"", ""none""]","[""to take phone"", ""to dial the number"", ""to have a phone"", ""to know their hospital number""]",PersonX calls PersonX's bank
PersonX licks PersonY's lips,trn,"[""sensual"", ""loving"", ""lewd"", ""excited""]","[""they are pushed away"", ""blushes"", ""smiles""]","[""none"", ""blushes"", ""smiles""]","[""attractive"", ""excited"", ""Excited"", ""Loving""]","[""confused"", ""grossed out"", ""Excited"", ""Appreciated""]","[""to kiss her"", ""to have romance"", ""to kiss PersonY"", ""to be silly with PersonY""]","[""none"", ""to ask them what they are doing"", ""to kiss PersonX""]","[""to be weird"", ""to have sex with Y"", ""To be romantic"", ""To be encouraging""]","[""none"", ""to be near PersonY"", ""to be in a relationship with PersonY""]",PersonX places PersonY's lips
PersonX gets found in the woods,trn,"[""relieved"", ""dehydrated"", ""frantic"", ""saved"", ""lost""]","[""none"", ""is rescued"", ""sighs in relief""]","[""none""]","[""ashamed"", ""scared"", ""happy"", ""relaxed""]","[""none""]","[""to go home"", ""hug their dog"", ""to drink water"", ""to restore their energy""]","[""none""]","[""none""]","[""none""]",PersonX gets lost in the woods
PersonX spends the morning with persony.,trn,"[""caring"", ""responsible"", ""loving"", ""congenial""]","[""goes to a job"", ""leaves y alone"", ""none""]","[""none""]","[""excited"", ""enthusiastic"", ""loving"", ""caring""]","[""happy"", ""cheerful"", ""none""]","[""to say goodbye"", ""to make plans for another visit"", ""to go for a walk"", ""get some fresh air""]","[""to hug personx"", ""to say goodnight"", ""to go for a walk"", ""get fresh air""]","[""to get to know person y"", ""to make memories with person y"", ""none""]","[""to drive in the car"", ""to go to persony's house"", ""to get out of bed"", ""to make breakfast""]",PersonX spends the evening with PersonY
PersonX has lived here for years,trn,"[""has stamina"", ""tolerant"", ""irrefutable"", ""loyal""]","[""none"", ""considered as permanent resident"", ""gets billed monthly at the address""]","[""none""]","[""local"", ""satisfied"", ""fresh"", ""blessed""]","[""none""]","[""to be nostaligic"", ""to brag to others"", ""to keep their home"", ""to not move away""]","[""none""]","[""none""]","[""none""]",PersonX has just moved to a new town
PersonX accepted PersonY's case,trn,"[""accepting"", ""gracious"", ""accommodating"", ""willing""]","[""none""]","[""is accepted"", ""feels gratitude"", ""they are defended""]","[""excited"", ""nervous"", ""loving"", ""kind""]","[""none""]","[""talk more to personY"", ""discuss their case"", ""work on the case"", ""win the case""]","[""propose another case"", ""talk to personX"", ""win the case"", ""give thanks""]","[""none""]","[""know personY"", ""listen to their case"", ""hear about the case"", ""decide to accept the case""]",PersonX argues PersonY's case
PersonX is target of a joke,trn,"[""embarrassed"", ""fazed"", ""surprised"", ""annoyed"", ""a good sport"", ""funny looking""]","[""frowns"", ""thinks about revenge"", ""Cries"", ""Runs away from the mean people""]","[""none""]","[""insulted"", ""humiliated"", ""embarrassed"", ""like they were bullied""]","[""none""]","[""to make fun of the other person as well"", ""to let the other person know that the joke was rude"", ""to feel alone"", ""to go aside""]","[""none""]","[""none""]","[""none""]",PersonX plays a joke
PersonX always accepts,trn,"[""easy to please"", ""adventurous"", ""unwavering"", ""conforming""]","[""Criticized by boss"", ""Given a demotion"", ""none""]","[""none""]","[""happy"", ""proud"", ""contented""]","[""none""]","[""to work hard"", ""to sleep"", ""participate in offers"", ""be agreeable""]","[""none""]","[""to be liked"", ""to be polite"", ""to look good"", ""to  be different""]","[""to bath"", ""to cook"", ""receive offers"", ""decide to accept""]",PersonX always refused
PersonX hears about PersonY's life,trn,"[""intrigued"", ""interested"", ""informed"", ""intelligent""]","[""gets to know PersonY"", ""gets asked questions"", ""sympathizes with the other"", ""comforts with the other""]","[""gets conversed with"", ""is asked questions"", ""none""]","[""curious"", ""interested"", ""encouraged"", ""happy""]","[""none""]","[""to know them better"", ""to work with them"", ""to change the subject"", ""to leave the area""]","[""none"", ""to have x understand more about them"", ""to hear what X has to say""]","[""none""]","[""none"", ""to approach Y"", ""to ask Y about themselves""]",PersonX shares PersonY's life
PersonX takes the cat,trn,"[""devious"", ""selfish"", ""concerned"", ""kind""]","[""scratched"", ""bit"", ""gets bitten"", ""gets scratched""]","[""none""]","[""proud"", ""happy"", ""happy to have a pet"", ""needed by the cat""]","[""none""]","[""to give the cat food"", ""to set up a cat bed"", ""to try and provide a good home for the cat"", ""to think of a cool name to give to the cat""]","[""none""]","[""to adopt the cat"", ""to save the cat's life"", ""to have a pet"", ""to live a cat"", ""to cuddle with the cat""]","[""to leave his wife"", ""to move to a new house"", ""none""]",PersonX takes the dog
PersonX leaves PersonY's place.,trn,"[""considerate"", ""ordered"", ""disappearing"", ""deserting"", ""breaking away"", ""abandoning""]","[""Told to come back"", ""Chased after by personY"", ""Is home"", ""Is by themself""]","[""none""]","[""alone"", ""rested"", ""angry"", ""Hate""]","[""none"", ""worried"", ""sadly""]","[""to go to home"", ""to take rest"", ""goes home to his parents"", ""moves to his house""]","[""none""]","[""none"", ""To avoid"", ""To show angry""]","[""none""]",PersonX goes back to PersonY's place
PersonX gives PersonY a hug,trn,"[""affectionate"", ""caring"", ""intimate""]","[""none""]","[""gets a huge"", ""feels PersonX's warmth"", ""none""]","[""comforting"", ""caring"", ""happy"", ""satisfied""]","[""soothed"", ""appreciated"", ""none""]","[""to ask PersonY if they're alright"", ""to squeeze PersonY"", ""to release arms"", ""to say greetings""]","[""to thank PersonX"", ""to hold PersonX in return"", ""to release arms"", ""to say greetings""]","[""to show appreciation"", ""to provide comfort"", ""none""]","[""to walk over to PersonY"", ""to feel affection for PersonY"", ""to open arms"", ""to embrace body""]",PersonX gives PersonY a pat
PersonX throws it to PersonY,trn,"[""playful"", ""sociable"", ""athletic"", ""sporty""]","[""none"", ""sprained shoulder"", ""sore musles""]","[""PersonY catches it"", ""PersonY drops it"", ""none""]","[""sharp"", ""concerned"", ""playful"", ""energetic""]","[""none"", ""playful also"", ""energized""]","[""to get it thrown back"", ""to throw something else"", ""to share it with others"", ""to improve their aim""]","[""to throw it back"", ""to keep it"", ""throw it back again"", ""play catch again""]","[""none"", ""to play"", ""to get the game going""]","[""to gather the ball"", ""to pick it up"", ""none""]",PersonX throws it at PersonY
PersonX asks PersonY to look away,trn,"[""embarrassed"", ""shy"", ""bashful""]","[""gets argued with"", ""gets obeyed"", ""none""]","[""gets scolded"", ""gets instructed further"", ""none""]","[""satisfied"", ""unobserved"", ""secretive"", ""respected""]","[""unobservant"", ""ignorant"", ""in the dark"", ""curious""]","[""do something sneaky"", ""run away from personY"", ""to meet people"", ""to go out""]","[""leave personX"", ""go meet someone else"", ""none""]","[""privacy"", ""to not be seen"", ""to maintain mystery""]","[""know personY"", ""be near personY"", ""to talk with person y"", ""to ask help""]",PersonX asks PersonY to see
PersonX works all the time,trn,"[""industrious"", ""amitious"", ""saving money"", ""trying to catch up""]","[""is always busy"", ""is tired"", ""none""]","[""none""]","[""diligent"", ""determined"", ""busy""]","[""none""]","[""to save a lot of money"", ""to take vacation"", ""to earn good"", ""to be at top""]","[""none""]","[""to earn money"", ""to buy a business"", ""none""]","[""none""]",PersonX plays all the time
PersonX disappoints PersonY,trn,"[""confused"", ""agitated"", ""unworthy"", ""unsuitable"", ""disappointing""]","[""none"", ""shakes head"", ""sighs""]","[""none""]","[""ashamed"", ""bad"", ""unhappy"", ""sad""]","[""disappointed"", ""sad"", ""none""]","[""to be sorry"", ""to apologize"", ""to feel sorry"", ""to be calm""]","[""none""]","[""none""]","[""none""]",PersonX meets PersonY's expectations
PersonX releases PersonY from prison.,trn,"[""friendly"", ""empathetic"", ""gracious"", ""loving""]","[""none"", ""gets thanked"", ""gets looked fondly upon""]","[""Gets freedom"", ""Becomes free"", ""feels grateful toward person x"", ""muscles tense from excitement of leaving prison""]","[""satisfied"", ""kind"", ""responsible"", ""relieved""]","[""none""]","[""to make person y a good person"", ""to be happy"", ""have an uneventful rest of the work day"", ""go home and rest""]","[""none"", ""celebrate their release"", ""go see their friends and family""]","[""none""]","[""to find the person y"", ""to help person y"", ""to check Person Y's record"", ""to fill out the paperwork required for the release""]",PersonX condemns PersonY to death
PersonX tries to visit PersonY,trn,"[""hardworking"", ""motivated"", ""extroverted"", ""sociable""]","[""x loves the y person"", ""to buy a gift"", ""can't find PersonY"", ""ignored""]","[""none""]","[""concerned"", ""loving"", ""ambitious"", ""involved""]","[""loved"", ""glad"", ""sought after"", ""important""]","[""to ask how they are doing"", ""to check up on them"", ""to go home"", ""to find a way to get to PersonY""]","[""none""]","[""to speak with PersonY"", ""to see how PersonY is doing"", ""to spend time with Y"", ""To see Y""]","[""none"", ""to learn PersonY's location"", ""to plan to visit PersonY""]",PersonX tries to call PersonY
PersonX invites everyone except PersonY.,trn,"[""mean"", ""uninviting"", ""rude""]","[""none""]","[""is angry"", ""is furious"", ""is not invited"", ""does not go to the party""]","[""angry"", ""upset"", ""mean"", ""selfish""]","[""unsupported"", ""dismissed"", ""none""]","[""to be entertained"", ""to be friendly"", ""enjoy their get together"", ""ignore person y""]","[""none"", ""confront person x on whey they weren't invited"", ""forget about it""]","[""to spite person Y"", ""to take revenge"", ""none""]","[""none"", ""annoyed by person y"", ""forget to invite person y""]",PersonX invites PersonY to visit
PersonX owns PersonX's own money,trn,"[""rude"", ""mean"", ""frugal"", ""responsible""]","[""none""]","[""none""]","[""like a made person"", ""independent"", ""in debt"", ""worried""]","[""none""]","[""to buy a car"", ""help the poor"", ""to pay back"", ""to be free""]","[""none""]","[""none""]","[""none""]",PersonX owns PersonX's own business
PersonX tears up PersonY's picture.,trn,"[""spiteful"", ""mean spirited"", ""vindictive"", ""angry"", ""frustrated""]","[""none""]","[""none"", ""PersonY will have to print a new picture"", ""PersonY will be mad and not be acquainted with personX""]","[""angry"", ""mean"", ""hurt""]","[""none""]","[""to leave persony"", ""to betray persony"", ""to break op with them"", ""to apologize to them""]","[""to cry"", ""to punch personx"", ""none""]","[""none"", ""get revenge on person y"", ""forget about person y""]","[""none""]",PersonX gets PersonY picture
PersonX makes PersonY stay,trn,"[""demanding"", ""controlling"", ""manipulative""]","[""none"", ""gets glared at"", ""receives persony's resentment""]","[""none"", ""becomes restrained"", ""furrows their brow""]","[""kind"", ""with company"", ""loving"", ""caring""]","[""none""]","[""keep them there"", ""secure them"", ""apologize"", ""let personY go home""]","[""none"", ""receive an apology"", ""go home""]","[""none""]","[""none"", ""be with personY"", ""decide to make personY stay""]",PersonX gives PersonY leave
PersonX takes PersonY for lunch,trn,"[""generous"", ""caring"", ""considerate"", ""friendly""]","[""none""]","[""PersonX help personY"", ""PersonY thank personX"", ""is grateful"", ""wants to reciprocate""]","[""good"", ""in a spending mood"", ""Happy"", ""Satisfied""]","[""none"", ""Welcomed"", ""Accepted""]","[""to make a payment"", ""to get a receipt"", ""to establish a friendship"", ""have a nice meal""]","[""to say thank you"", ""to reciprocate"", ""none""]","[""none"", ""to be social with PersonY"", ""to get something to eat""]","[""to make a phone call"", ""to make an appointment"", ""none""]",PersonX takes PersonY for ice cream
PersonX talks to the principal.,trn,"[""caring"", ""friendly"", ""responsible"", ""communicative""]","[""they are called a rat"", ""none""]","[""they get in trouble"", ""none""]","[""understood"", ""communicative"", ""relatable""]","[""none"", ""like they can be listened to"", ""that the can have  conversation""]","[""clarify a misunderstanding"", ""arrange for a transfer"", ""get information"", ""get to know him""]","[""to talk to PersonX"", ""to offer help to PersonX"", ""none""]","[""information"", ""feedback"", ""to be helpful to others"", ""to be talkative""]","[""go to the principal's office"", ""set an appointment with the principal"", ""none""]",PersonX sees the principal
PersonX is made uncomfortable,trn,"[""reserved"", ""modest"", ""confined"", ""cramped""]","[""turns red"", ""furrows brows"", ""becomes frustrated"", ""frowns""]","[""none""]","[""awkward"", ""nervous"", ""bad"", ""sad""]","[""none""]","[""be more comfortable"", ""go somewhere else"", ""get away"", ""get comfortable""]","[""none""]","[""none""]","[""none""]",PersonX becomes more comfortable
PersonX keeps secrets from PersonY,trn,"[""covert"", ""furtive"", ""private"", ""guarded"", ""secretive"", ""hateful"", ""tight-lipped""]","[""none"", ""keep his secrete safe"", ""avoid the future conflict"", ""acts guilty"", ""has to keep lies straight"", ""avoid the secrete spill"", ""away from conflict""]","[""none"", ""mistrusts person x"", ""confronts person x""]","[""secretive"", ""private"", ""guilty"", ""ashamed"", ""sectretive"", ""trustworthy"", ""ahamed"", ""like telling the truth""]","[""curious"", ""confused"", ""none"", ""betrayed"", ""like they cannot trust anyone""]","[""don't talk to personY"", ""avoid personY"", ""Keep the secret to person x self"", ""Go on about person x day"", ""to keep things away"", ""not feel shame"", ""avoid Y"", ""talk to other people""]","[""find personX"", ""talk to personX"", ""be happy that they can trust personx"", ""would confide more in person x in the future"", ""to know the truth"", ""how things are really"", ""find X"", ""ask X about secrets""]","[""to be private"", ""to be secretive"", ""to be mysterious"", ""to stay out of jail"", ""none""]","[""personX has a secret"", ""personX knows personY"", ""to meet up with person y"", ""person y to tell a secret"", ""none"", ""know Y"", ""know secrets""]",PersonX tells PersonY things
PersonX throws the fish back,trn,"[""declining"", ""disregarding"", ""refusing"", ""mindful"", ""attentive""]","[""none"", ""becomes wet"", ""wipes hand""]","[""none""]","[""scared"", ""afraid"", ""responsible"", ""good""]","[""none""]","[""to make sure to abide by the fish size law"", ""to try and catch a larger sized fish"", ""to be helpful"", ""tobe mindful""]","[""none""]","[""none""]","[""none""]",PersonX reels the fish in
PersonX paints the dining room,trn,"[""artistic"", ""aesthetic"", ""active""]","[""becomes tired"", ""gets paid"", ""none""]","[""none""]","[""interested"", ""active"", ""happy"", ""tired""]","[""none""]","[""to invite vistors"", ""to buy new furniture"", ""make it fresh"", ""buy new funiture""]","[""none""]","[""to remodel"", ""a new look"", ""to be artistic"", ""to brighten the room""]","[""none""]",PersonX paints the living room
PersonX always remembered,trn,"[""considerate"", ""thoughtful"", ""attentive"", ""dedic ated""]","[""none""]","[""none""]","[""happy"", ""glad"", ""intelligent"", ""successful""]","[""none""]","[""keep memory sharp"", ""not forget"", ""to be remembered"", ""to have fun""]","[""none""]","[""none"", ""to be known for a good memory"", ""to not get in trouble with their wife""]","[""none"", ""to work hard"", ""to get a good name""]",PersonX always forgot
PersonX teaches PersonY,trn,"[""intelligent"", ""helpful"", ""knowledgable""]","[""is thanked by PersonY for the help"", ""is given a gift by PersonY as a thank you"", ""gets thanked"", ""gets appreciated""]","[""is thanked by PersonX for the gift"", ""is told to keep learning and PersonX will help"", ""learns"", ""gains knowledge""]","[""accomplished"", ""like they are making a difference"", ""helpful"", ""skilled""]","[""grateful"", ""interested"", ""educated""]","[""to continue to teach PersonY"", ""to be proud of PersonY's skills"", ""to test PersonY"", ""to continue PersonY's education""]","[""to thank PersonX"", ""to show off their new skills"", ""to study the lessons""]","[""to do their job"", ""to help PersonY learn"", ""to help PersonY"", ""PersonY to succeed""]","[""to have knowledge PersonY wants"", ""to arrange a time to teach PersonY"", ""to make a lesson plan"", ""to meet up with PersonY""]",PersonX trains PersonY
PersonX closes their business,trn,"[""unlucky"", ""poor"", ""disappointed"", ""sad"", ""overwhelmed""]","[""none"", ""loses money"", ""becomes poor""]","[""none""]","[""sad"", ""upset"", ""happy"", ""satisifed"", ""relieved""]","[""none"", ""sad"", ""confused"", ""surprised""]","[""to go over their finances"", ""to try something else"", ""reopen the business"", ""retire""]","[""none""]","[""to be free"", ""no more losses"", ""to avoid more losses"", ""to try something new""]","[""to make losses"", ""to run a business"", ""open a business"", ""decide to close""]",PersonX gains new clients
PersonX throws PersonY's phone,trn,"[""combative"", ""quarrelsome"", ""out of control"", ""irate"", ""destructive""]","[""they're yelled at"", ""gets yelled at"", ""get shouted at""]","[""they need a new phone"", ""gets angry"", ""frustrated""]","[""vindictive"", ""guilty"", ""careless"", ""selfish""]","[""angry"", ""upset"", ""none""]","[""to run away from the scene"", ""to make an apology"", ""to break their phone"", ""to get revenge""]","[""to get their phone"", ""ask questions"", ""get a replacement phone"", ""check for damages"", ""to hit personx"", ""to yell at personx""]","[""to show their displeasure"", ""to break the phone"", ""none""]","[""to grab the phone"", ""to get upset"", ""none""]",PersonX holds PersonY's phone
PersonX keeps a secret,trn,"[""considerate"", ""trustworthy"", ""loyal"", ""honest"", ""cryptic"", ""enigmatic""]","[""stays silent"", ""furrows brow"", ""gets yelled at"", ""loses other's trust""]","[""none""]","[""good"", ""trusting"", ""protective"", ""quiet""]","[""grateful"", ""thankful"", ""none""]","[""to be be loyal"", ""to be true"", ""not tell anyone"", ""keep themselves distracted""]","[""none""]","[""to be a good friend"", ""to keep things quiet"", ""to remain anonymous"", ""to hide in the shadows""]","[""none""]",PersonX tells PersonX's sister
PersonX takes PersonY car,trn,"[""rude"", ""irresponsible"", ""needy"", ""responsible""]","[""gets in trouble"", ""is told to return the car"", ""none""]","[""is missing the car"", ""gets in an argument"", ""none""]","[""nervous"", ""powerful"", ""anxious"", ""guilty""]","[""none"", ""upset"", ""furious""]","[""to drive car"", ""to present at wedding"", ""go out"", ""apologize to y""]","[""none""]","[""to express negative feelings"", ""to do something else"", ""to drive somewhere"", ""to sell it""]","[""none""]",PersonX shakes PersonY awake
PersonX quickly moved PersonY's mouth down,trn,"[""pushy"", ""controlling"", ""aggressive"", ""violent""]","[""to use mouth freshner"", ""to clean the mouth"", ""can be dominated person"", ""may boss him""]","[""none""]","[""in control"", ""powerful"", ""good"", ""thoughtful""]","[""thankful"", ""helped"", ""none""]","[""shut him down"", ""makes them speak"", ""to put something in PersonY's mouth"", ""to drag PersonY by the jaw""]","[""none"", ""to get away"", ""to push PersonX""]","[""person y to take medicine"", ""to help person y"", ""to be nice"", ""to be uplifting""]","[""none"", ""to grab PersonY's jaw"", ""to move close to PersonY""]",PersonX slowly moved PersonY's mouth up
PersonX orders PersonY to work faster,trn,"[""supervisory"", ""managerial"", ""bossy"", ""authoritative"", ""tyrannical""]","[""gets acknowledged"", ""gets results"", ""none""]","[""gets inspired"", ""becomes motivated"", ""none""]","[""motivated"", ""evil"", ""hurried"", ""unsatisfied""]","[""exhausted"", ""angry"", ""none""]","[""Try to convince"", ""Ask to work fast"", ""get the job done fast"", ""leave early""]","[""none"", ""to impress"", ""to work harder""]","[""to push people to their limits"", ""to earn more money"", ""none""]","[""Create a work to do"", ""time getting late"", ""observe"", ""supervise""]",PersonX gives PersonY a break
PersonX tries my foot,trn,"[""kinky"", ""perverted"", ""interested"", ""compelled""]","[""gets thanked"", ""receives praise"", ""can have smooth feet"", ""may have warm""]","[""none""]","[""playful"", ""excited"", ""strong"", ""skillful""]","[""scared"", ""nervous"", ""relieved"", ""healed""]","[""to wash clothes"", ""to watch movie"", ""to let me know that they are the boss"", ""to see if i have what it takes""]","[""none""]","[""to touch me"", ""to be playful"", ""to make someone laugh"", ""to fix a medical problem""]","[""to work on project"", ""to complete the task"", ""none""]",PersonX tries my hand
PersonX made the cheerleading team,trn,"[""hard working"", ""skilled"", ""limber"", ""lithe""]","[""now has to go to cheerleading practice"", ""feels prideful about accomplishment"", ""smiles"", ""calls friends""]","[""none""]","[""excited"", ""proud"", ""cheerful"", ""like a leader""]","[""happy"", ""proud"", ""none""]","[""to tell others about being a cheerleader"", ""to continue to improve in cheerleading"", ""watch a match"", ""go out""]","[""none""]","[""to be part of the team"", ""to wear a uniform"", ""none""]","[""none""]",PersonX makes the football team
PersonX sits far away from PersonY,trn,"[""cold"", ""uncaring"", ""introverted"", ""distant""]","[""none"", ""can't hear PersonY well"", ""can't see PersonY clearly"", ""can't communicate well with the other""]","[""none"", ""can't hear PersonX well"", ""can't see PersonX well"", ""can't communicate well with the other""]","[""sequestered"", ""hostile"", ""stressed"", ""guilty""]","[""rejected"", ""ignored"", ""confused"", ""hurt""]","[""to get out of the situation"", ""to cover themselves"", ""to be away from persony"", ""not talk to them""]","[""to get near person X"", ""to harangue person X"", ""to become a better person"", ""make a new friendship with personx""]","[""to stay away from person y"", ""to be alone"", ""to avoid PersonY"", ""to not be associated with PersonY""]","[""to see person Y"", ""to decide to avoid person Y"", ""none""]",PersonX seats beside PersonY
PersonX immediately missed PersonY,trn,"[""lonely"", ""regretful"", ""despondent"", ""easily distracted"", ""clumsy""]","[""none""]","[""none"", ""gets a phone call"", ""is begged to come back""]","[""loving"", ""caring"", ""lonely"", ""unwanted""]","[""none""]","[""them to come back"", ""to not miss them so much"", ""to cal persony"", ""to beg for forgiveness""]","[""none"", ""to avoid personx"", ""to shun persox""]","[""none""]","[""be away from PersonY"", ""to have PersonY leave"", ""none""]",PersonX immediately took PersonY
PersonX rejects PersonY's book,trn,"[""closed-minded"", ""hard to please"", ""strict"", ""discerning""]","[""none"", ""yelled at by Y"", ""has office door slammed""]","[""holds book"", ""face turns red"", ""looks for nabother publisher"", ""gets new editor""]","[""certain"", ""like they are a good judge of talent"", ""disturbed"", ""disinterested""]","[""like a failure"", ""distressed"", ""none""]","[""to be select another"", ""give reward"", ""to write a book review"", ""to write a dissenting opinion""]","[""none"", ""nothing - PersonX could be one reader in a base of millions"", ""read PersonX's critique""]","[""personY to write a better book"", ""personY to improve their craft"", ""none""]","[""none"", ""to acquire PersonY's book"", ""to read PersonY's book""]",PersonX publishes PersonY's book
PersonY cleans themselves,trn,"[""cleaner"", ""motivated"", ""independent"", ""strong""]","[""none""]","[""none"", ""Praised by mother"", ""Given a piece of candy as reward""]","[""clean"", ""fresh"", ""beautiful""]","[""none""]","[""to give PersonY supplies"", ""to wait"", ""to get ready for a date"", ""to look good""]","[""to get clean"", ""to take a shower"", ""none""]","[""none""]","[""none"", ""to use soap"", ""to run bathwater""]",PersonX cleans PersonY
PersonX answers a question.,trn,"[""bookish"", ""educated"", ""smart"", ""confident""]","[""none"", ""gets applauded"", ""gets praised""]","[""none""]","[""proud"", ""helpful"", ""clever"", ""smart""]","[""grateful"", ""knowledgeable"", ""none""]","[""to move on to next subject"", ""to ask if they're right"", ""answer another question"", ""be praised""]","[""none""]","[""to be helpful"", ""to keep others informed"", ""none""]","[""none"", ""be asked a question"", ""know the answer""]",PersonX asks a question
PersonX goes wrong with PersonY,trn,"[""deceitful"", ""lousy"", ""reckless"", ""irresponsible""]","[""apologize"", ""regretful"", ""none""]","[""is apologized to"", ""is appealed to"", ""none""]","[""upset"", ""sad"", ""annoyed"", ""mad""]","[""disappointed"", ""angry"", ""none""]","[""avoid person y"", ""go somewhere else"", ""to make it up to y"", ""to be their own person""]","[""to get revenge on person x"", ""talk to someone and vent"", ""to stay away from x"", ""to reprimand x""]","[""none""]","[""to know person y"", ""do something wrong to person y"", ""to make a mistake"", ""to not impress y""]",PersonX goes well with PersonY
PersonX surrenders up to PersonY,trn,"[""timid"", ""unassertive"", ""Accepting"", ""Tired""]","[""none""]","[""none""]","[""accomplished"", ""satisfied"", ""content"", ""happy""]","[""none"", ""glad"", ""thrilled""]","[""avoid Y"", ""negotiate with Y"", ""to be more fun"", ""to love PersonY""]","[""harm X"", ""talk to X"", ""none""]","[""none"", ""to have a partner"", ""to be a good person""]","[""none""]",PersonX stands up to PersonY
PersonX gets lost on the way to class,trn,"[""absent-minded"", ""inattentive"", ""confused"", ""distracted"", ""unfocused"", ""unfamiliar""]","[""they are late to class"", ""none""]","[""none""]","[""sad"", ""bad"", ""embarrassed"", ""confused""]","[""none""]","[""find the right way"", ""get back on track"", ""to find their class"", ""to not be lost""]","[""none""]","[""none""]","[""none""]",PersonX finds PersonX's class
PersonX leaves from a party with PersonX's friends,trn,"[""sociable"", ""loyal"", ""congenial"", ""fun-loving""]","[""gets cold"", ""stops sweating"", ""none""]","[""gets cold"", ""stop sweating"", ""none""]","[""happy"", ""excited"", ""accomplished""]","[""happy"", ""excited"", ""none""]","[""go home"", ""give friends rides home"", ""relax""]","[""receive a ride home"", ""visit on the way home"", ""none""]","[""to get more drinks"", ""to go get a bite to eat"", ""none""]","[""go to a party"", ""meet up with friends"", ""none""]",PersonX goes to a party with PersonX's friends
